base_1,43.118967237	,131.889649040	,114.216
1374,43.026376104	,131.897907624	,39.168
1375,43.026386274	,131.897783105	,38.562
1376,43.026434989	,131.897774741	,37.358
1377,43.026455913	,131.897684507	,36.860
1378,43.026411764	,131.897682101	,37.519
1379,43.026409667	,131.897635681	,37.376
1380,43.026427713	,131.897598301	,37.028
1381,43.026489488	,131.897625901	,36.581
1382,43.026385645	,131.897565803	,37.802
1383,43.026383230	,131.897576251	,37.325
1384,43.026350897	,131.897644177	,38.129
1385,43.026328212	,131.897639857	,38.124
1386,43.026323673	,131.897637981	,38.504
1387,43.026319028	,131.897643426	,38.415
1388,43.026328508	,131.897654705	,38.642
1389,43.026324289	,131.897650932	,38.482
1390,43.026322267	,131.897655935	,38.592
1391,43.026300748	,131.897667010	,38.837
1392,43.026303333	,131.897671305	,39.111
1393,43.026310499	,131.897698253	,40.050
1394,43.026296353	,131.897685783	,39.749
1395,43.026291514	,131.897681386	,39.528
1396,43.026283649	,131.897681276	,39.649
1397,43.026280897	,131.897686698	,39.880
1398,43.026266298	,131.897707602	,40.329
1399,43.026258848	,131.897702393	,40.012
1400,43.026271572	,131.897681530	,39.808
1401,43.026256532	,131.897686473	,40.138
1402,43.026250940	,131.897700924	,40.593
1403,43.026233795	,131.897713765	,40.616
1404,43.026230107	,131.897716262	,40.396
1405,43.026222310	,131.897710877	,40.613
1406,43.026221386	,131.897705369	,40.282
1407,43.026211502	,131.897706208	,40.310
1408,43.026210021	,131.897708559	,40.567
1409,43.026206879	,131.897700621	,40.451
1410,43.026208575	,131.897692174	,40.478
1411,43.026195621	,131.897668868	,40.771
1412,43.026207051	,131.897663878	,40.368
1413,43.026208369	,131.897634853	,40.134
1414,43.026219991	,131.897601405	,39.894
1415,43.026246469	,131.897641627	,39.248
1416,43.026246426	,131.897643203	,39.446
1417,43.026247966	,131.897640710	,39.265
1418,43.026254035	,131.897645048	,39.282
1419,43.026257406	,131.897656226	,39.457
1420,43.026238337	,131.897657155	,40.057
1421,43.026228965	,131.897657248	,40.283
1422,43.026231641	,131.897682813	,40.592
1423,43.026241645	,131.897675050	,40.555
1424,43.026260964	,131.897675678	,39.936
1425,43.026279933	,131.897670647	,39.481
1426,43.026284569	,131.897661356	,38.904
1427,43.026281985	,131.897654506	,38.890
1428,43.026282471	,131.897635241	,38.884
1429,43.026279165	,131.897619202	,38.962
1430,43.026277216	,131.897614408	,38.544
1431,43.026277623	,131.897618511	,38.673
1432,43.026272868	,131.897598596	,38.602
1433,43.026303437	,131.897618056	,38.195
1434,43.026293244	,131.897637525	,38.690
1435,43.026296622	,131.897643936	,38.680
1436,43.026299679	,131.897645377	,38.656
1437,43.026309523	,131.897648980	,38.609
1438,43.026227463	,131.897556894	,39.475
1439,43.026237042	,131.897543630	,39.017
1440,43.026245952	,131.897538522	,39.244
1441,43.026241487	,131.897545883	,38.818
1442,43.026244893	,131.897542215	,38.728
1443,43.026243445	,131.897548228	,38.768
1444,43.026253845	,131.897531797	,38.505
1445,43.026258233	,131.897526069	,38.551
1446,43.026263024	,131.897526304	,38.396
1447,43.026271321	,131.897528695	,38.471
1448,43.026269320	,131.897508747	,38.324
1449,43.026260747	,131.897499218	,38.335
1450,43.026266159	,131.897510629	,38.455
1451,43.026259679	,131.897523893	,38.438
1452,43.026257924	,131.897512282	,38.540
1453,43.026256095	,131.897502256	,38.478
1454,43.026254863	,131.897499159	,38.524
1455,43.026238247	,131.897503178	,39.068
1456,43.026252375	,131.897478216	,38.516
1457,43.026257392	,131.897475102	,38.909
1458,43.026276732	,131.897422571	,38.195
1459,43.026301424	,131.897468448	,38.236
1460,43.026310526	,131.897471086	,38.689
1461,43.026303429	,131.897483517	,38.341
1462,43.026309546	,131.897486351	,38.696
1463,43.026305549	,131.897490025	,38.323
1464,43.026312839	,131.897497461	,38.489
1465,43.026315860	,131.897499820	,38.686
1466,43.026310860	,131.897510450	,38.036
1467,43.026312237	,131.897511562	,38.016
1468,43.026323401	,131.897530259	,38.164
1469,43.026324427	,131.897536893	,37.947
1470,43.026323263	,131.897514233	,38.185
1471,43.026328148	,131.897539364	,38.162
1472,43.026324462	,131.897547851	,37.931
1473,43.026323201	,131.897555398	,37.796
1474,43.026339616	,131.897558264	,37.645
1475,43.026336983	,131.897548964	,37.925
1476,43.026332993	,131.897536972	,38.294
1477,43.026344509	,131.897552685	,37.717
1478,43.026352720	,131.897545192	,37.433
1479,43.026371842	,131.897527478	,37.318
1480,43.026365538	,131.897523939	,37.330
1481,43.026340656	,131.897521043	,37.731
1482,43.026329976	,131.897502581	,38.252
1483,43.026325342	,131.897500214	,38.610
1484,43.026316953	,131.897477235	,38.789
1485,43.026320067	,131.897475222	,38.645
1486,43.026329255	,131.897473973	,38.203
1487,43.026339658	,131.897480025	,37.944
1488,43.026342050	,131.897480521	,37.893
1489,43.026375893	,131.897468966	,37.206
1490,43.026379108	,131.897465209	,36.967
1491,43.026392371	,131.897485620	,37.429
1492,43.026404507	,131.897486771	,37.109
1493,43.026407339	,131.897488593	,37.115
1494,43.026425455	,131.897509390	,37.299
1495,43.026429113	,131.897511945	,36.756
1496,43.026426561	,131.897519108	,36.622
1497,43.026425129	,131.897520658	,36.697
1498,43.026460614	,131.897556634	,36.746
1499,43.026438952	,131.897471678	,36.036
1500,43.026439097	,131.897476772	,36.534
1501,43.026429202	,131.897478338	,36.754
1502,43.026414091	,131.897470521	,36.466
1503,43.026401323	,131.897460283	,36.559
1504,43.026402075	,131.897445854	,36.059
1505,43.026369989	,131.897438501	,36.224
1506,43.026371171	,131.897456004	,36.929
1507,43.026362001	,131.897454308	,37.034
1508,43.026341915	,131.897447033	,37.237
1509,43.026333194	,131.897443940	,37.009
1510,43.026329561	,131.897445396	,37.336
1511,43.026319382	,131.897446680	,37.760
1512,43.026318849	,131.897443440	,37.645
1513,43.026303769	,131.897442935	,38.207
1514,43.026310253	,131.897433640	,38.002
1515,43.026304063	,131.897423341	,37.955
1516,43.026302311	,131.897423637	,37.970
1517,43.026302242	,131.897389849	,37.821
1518,43.026301520	,131.897386330	,37.750
1519,43.026296947	,131.897379854	,37.956
1520,43.026308564	,131.897349439	,37.726
1521,43.026307457	,131.897374427	,37.439
1522,43.026310291	,131.897371102	,37.355
1523,43.026315948	,131.897374567	,36.782
1524,43.026317900	,131.897380149	,36.737
1525,43.026321243	,131.897378596	,36.606
1526,43.026322114	,131.897382623	,36.624
1527,43.026325467	,131.897395536	,36.709
1528,43.026331531	,131.897402878	,36.418
1529,43.026328793	,131.897406109	,36.689
1530,43.026333797	,131.897427721	,36.657
1531,43.026325414	,131.897344145	,37.080
1532,43.026340955	,131.897323528	,36.556
1533,43.026334991	,131.897309122	,36.861
1534,43.026338573	,131.897284423	,36.897
1535,43.026350014	,131.897280516	,36.628
1536,43.026378663	,131.897267067	,36.318
1537,43.026391347	,131.897275781	,36.295
1538,43.026475929	,131.897304016	,35.669
1539,43.026478838	,131.897299984	,35.854
1540,43.026474156	,131.897279846	,36.060
1541,43.026231558	,131.897357296	,39.025
1542,43.026217328	,131.897326569	,38.952
1543,43.026177250	,131.897360868	,39.383
1544,43.026170826	,131.897381693	,39.882
1545,43.026148483	,131.897453878	,40.098
1546,43.026130129	,131.897398035	,40.141
1547,43.026103992	,131.897366694	,40.041
1548,43.026061163	,131.897426214	,40.952
1549,43.026065266	,131.897410549	,40.897
1550,43.026072103	,131.897386914	,40.550
1551,43.026073326	,131.897374124	,40.408
1552,43.026070885	,131.897368019	,40.392
1553,43.026055770	,131.897379585	,40.579
1554,43.026045308	,131.897378519	,40.687
1555,43.026036407	,131.897380335	,40.873
1556,43.026034006	,131.897378454	,40.782
1557,43.026027502	,131.897376439	,40.802
1558,43.026016856	,131.897364527	,40.824
1559,43.026017389	,131.897351018	,40.839
1560,43.026015675	,131.897350027	,40.911
1561,43.026010056	,131.897351366	,40.918
1562,43.026012192	,131.897345845	,41.044
1563,43.026012738	,131.897342509	,41.104
1564,43.026005094	,131.897337547	,41.039
1565,43.026007939	,131.897329647	,41.008
1566,43.026033790	,131.897331247	,40.542
1567,43.026039618	,131.897358243	,40.583
1568,43.026050400	,131.897357738	,40.476
1569,43.026056004	,131.897345646	,40.589
1570,43.026045031	,131.897348915	,40.510
1571,43.026043116	,131.897344644	,40.478
1572,43.026044881	,131.897337531	,40.509
1573,43.026012403	,131.897296859	,40.979
1574,43.026004409	,131.897295811	,41.297
1575,43.026000101	,131.897297728	,40.863
1576,43.025966038	,131.897235169	,41.090
1577,43.025970082	,131.897228511	,41.123
1578,43.025976251	,131.897230285	,41.035
1579,43.025981810	,131.897238407	,40.986
1580,43.025981955	,131.897246900	,41.028
1581,43.025982673	,131.897242609	,41.006
1582,43.025985088	,131.897242874	,40.979
1583,43.025989294	,131.897245944	,40.922
1584,43.025988458	,131.897237314	,40.915
1585,43.025990165	,131.897221250	,40.903
1586,43.025991056	,131.897229197	,40.887
1587,43.026001098	,131.897235848	,40.842
1588,43.025999960	,131.897244114	,40.776
1589,43.025993022	,131.897255522	,40.843
1590,43.026012716	,131.897258480	,40.828
1591,43.026004067	,131.897237301	,40.900
1592,43.026009513	,131.897225182	,40.681
1593,43.026007834	,131.897217801	,40.668
1594,43.026014353	,131.897218383	,40.652
1595,43.026027225	,131.897218259	,40.621
1596,43.026021157	,131.897251570	,40.557
1597,43.026020477	,131.897261715	,40.671
1598,43.026032539	,131.897231555	,40.436
1599,43.026037045	,131.897224077	,40.347
1600,43.026045371	,131.897220299	,40.270
1601,43.026047181	,131.897212007	,40.318
1602,43.026049406	,131.897203760	,40.194
1603,43.026063291	,131.897191767	,40.123
1604,43.026069651	,131.897186133	,40.045
1605,43.026075559	,131.897188305	,40.082
1606,43.026076570	,131.897165011	,40.048
1607,43.026084761	,131.897155588	,39.939
1608,43.026099105	,131.897166410	,39.735
1609,43.026111366	,131.897138656	,39.614
1610,43.026117307	,131.897143551	,39.781
1611,43.026119372	,131.897139114	,39.519
1612,43.026144442	,131.897134751	,39.261
1613,43.026153303	,131.897127445	,39.200
1614,43.026170644	,131.897153068	,39.124
1615,43.026180238	,131.897140960	,39.154
1616,43.026187297	,131.897152674	,38.914
1617,43.026184194	,131.897157588	,38.939
1618,43.026181265	,131.897160813	,39.130
1619,43.026177941	,131.897163546	,39.401
1620,43.026187319	,131.897173197	,39.026
1621,43.026191129	,131.897192496	,39.180
1622,43.026188651	,131.897197304	,39.593
1623,43.026187944	,131.897208219	,39.029
1624,43.026159769	,131.897258186	,39.304
1625,43.026153662	,131.897282061	,39.526
1626,43.026125738	,131.897300858	,39.751
1627,43.026120018	,131.897334800	,39.916
1628,43.026088429	,131.897347235	,40.150
1629,43.026102573	,131.897296576	,39.844
1630,43.026078501	,131.897284504	,40.078
1631,43.026084471	,131.897290466	,40.014
1632,43.026066373	,131.897303494	,40.235
1633,43.026056661	,131.897284896	,40.473
1634,43.026060343	,131.897273701	,40.452
1635,43.026039444	,131.897279895	,40.384
1636,43.026033474	,131.897286233	,40.564
1637,43.026036430	,131.897276828	,40.493
1638,43.026030604	,131.897273031	,40.510
1639,43.026046759	,131.897266891	,40.332
1640,43.026039251	,131.897265549	,40.435
1641,43.026031908	,131.897254825	,40.578
1642,43.026045440	,131.897246282	,40.283
1643,43.026047798	,131.897261115	,40.297
1644,43.026052970	,131.897246987	,40.172
1645,43.026063211	,131.897253061	,40.103
1646,43.026068774	,131.897244498	,40.276
1647,43.026060924	,131.897229648	,40.097
1648,43.026052603	,131.897225284	,40.206
1649,43.026075898	,131.897246657	,39.999
1650,43.026075222	,131.897222635	,40.227
1651,43.026079674	,131.897211648	,39.918
1652,43.026076968	,131.897206340	,40.030
1653,43.026079830	,131.897205966	,39.918
1654,43.026079681	,131.897194712	,39.952
1655,43.026101797	,131.897200546	,40.025
1656,43.026100032	,131.897176515	,39.945
1657,43.026115105	,131.897178402	,39.578
1658,43.026121510	,131.897197154	,39.560
1659,43.026135317	,131.897203562	,39.446
1660,43.026111065	,131.897230962	,39.936
1661,43.026110196	,131.897233136	,39.661
1662,43.026106189	,131.897231764	,39.857
1663,43.026104968	,131.897218017	,39.811
1664,43.026089874	,131.897241963	,39.869
1665,43.026081864	,131.897234686	,39.903
1666,43.026070551	,131.897275327	,40.334
1667,43.026116186	,131.897272314	,39.607
1668,43.025794269	,131.898549971	,48.156
1669,43.025724376	,131.898608413	,49.928
1670,43.025719270	,131.898609723	,49.921
1671,43.025717358	,131.898607020	,49.852
1672,43.025676622	,131.898620882	,50.940
1673,43.025659638	,131.898639019	,51.673
1674,43.025645115	,131.898715874	,52.071
1675,43.025645890	,131.898710283	,51.978
1676,43.025640246	,131.898709943	,52.274
1677,43.025636379	,131.898717375	,52.322
1678,43.025639449	,131.898720230	,52.231
1679,43.025615129	,131.898691943	,52.796
1680,43.025613299	,131.898684240	,52.645
1681,43.025610694	,131.898683154	,52.647
1682,43.025619806	,131.898679672	,52.673
1683,43.025626579	,131.898681985	,52.380
1684,43.025658173	,131.898583795	,51.268
1685,43.025629008	,131.898550155	,51.918
1686,43.025648579	,131.898514144	,51.121
1687,43.025583292	,131.898482238	,52.436
1688,43.025572057	,131.898485690	,52.791
1689,43.025545877	,131.898469006	,53.410
1690,43.025704275	,131.898454894	,49.153
1691,43.025700790	,131.898459043	,49.429
1692,43.025699116	,131.898453814	,49.405
1693,43.025737171	,131.898448496	,48.573
1694,43.025759663	,131.898520857	,48.546
1695,43.025737799	,131.898524708	,49.010
1696,43.025730771	,131.898527621	,49.118
1697,43.025728143	,131.898528034	,49.208
1698,43.025726857	,131.898530782	,49.305
1699,43.025726389	,131.898535386	,49.427
1700,43.025732247	,131.898535438	,49.142
1701,43.025702102	,131.898396604	,48.859
1702,43.025700513	,131.898400732	,48.940
1703,43.025700271	,131.898403787	,48.881
1704,43.025695260	,131.898402234	,49.045
1705,43.025693781	,131.898398941	,49.061
1706,43.025694573	,131.898398381	,49.084
1707,43.025693799	,131.898395084	,49.081
1708,43.025697373	,131.898394599	,49.204
1709,43.025700512	,131.898341639	,48.500
1710,43.025701549	,131.898334462	,48.345
1711,43.025704286	,131.898342208	,48.341
1712,43.025738500	,131.898280731	,47.517
1713,43.025744771	,131.898216141	,47.240
1714,43.025742880	,131.898223844	,47.295
1715,43.025736305	,131.898226747	,47.392
1716,43.025730061	,131.898218489	,47.324
1717,43.025734267	,131.898212049	,47.508
1718,43.025641838	,131.898345794	,49.920
1719,43.025553548	,131.898369408	,52.605
1720,43.025528093	,131.898314749	,52.789
1721,43.025526004	,131.898318242	,52.911
1722,43.025530989	,131.898310819	,52.705
1723,43.025507428	,131.898259597	,53.021
1724,43.025503870	,131.898254776	,53.160
1725,43.025504809	,131.898252385	,53.100
1726,43.025506153	,131.898250100	,53.268
1727,43.025489139	,131.898201463	,53.240
1728,43.025504204	,131.898198683	,52.628
1729,43.025504782	,131.898188580	,52.546
1730,43.025512130	,131.898199766	,52.488
1731,43.025498751	,131.898139403	,52.290
1732,43.025497495	,131.898081291	,51.557
1733,43.025469775	,131.898096120	,52.633
1734,43.025485684	,131.898171214	,53.015
1735,43.025481406	,131.898167527	,53.167
1736,43.025453409	,131.897965408	,51.665
1737,43.025446260	,131.897934310	,51.471
1738,43.025404962	,131.897901303	,52.811
1739,43.025408675	,131.897902265	,52.319
1740,43.025408422	,131.897907832	,52.402
1741,43.025451711	,131.897840032	,50.341
1742,43.025383590	,131.897780082	,51.715
1743,43.025421146	,131.897721168	,50.570
1744,43.025419015	,131.897717880	,50.659
1745,43.025423623	,131.897716620	,50.486
1746,43.025405343	,131.897590546	,50.456
1747,43.025402095	,131.897595739	,50.860
1748,43.025406770	,131.897561956	,50.392
1749,43.025409134	,131.897561085	,50.922
1750,43.025412733	,131.897555004	,50.277
1751,43.025386509	,131.897520420	,50.473
1752,43.025384244	,131.897516588	,50.575
1753,43.025385412	,131.897525482	,50.441
1754,43.025380905	,131.897522555	,50.638
1755,43.025380357	,131.897518199	,50.680
1756,43.025355342	,131.897571926	,51.200
1757,43.025343175	,131.897385475	,50.799
1758,43.025292412	,131.897313457	,51.448
1759,43.025188227	,131.897275657	,54.522
1760,43.025209379	,131.897249749	,53.814
1761,43.025211498	,131.897242572	,53.401
1762,43.025212060	,131.897202990	,52.605
1763,43.025262283	,131.896998750	,49.990
1764,43.025260400	,131.896986357	,50.051
1765,43.025233909	,131.896826319	,50.639
1766,43.025156754	,131.896330167	,50.100
1767,43.025115567	,131.896264781	,52.209
1768,43.025127743	,131.896255778	,51.231
1769,43.025127336	,131.896257654	,51.098
1770,43.025119383	,131.896255099	,51.902
1771,43.025122792	,131.896255401	,51.559
1772,43.025120768	,131.896256984	,51.714
1773,43.025252951	,131.895833821	,48.004
1774,43.025247654	,131.895831421	,48.038
1775,43.025247423	,131.895825423	,47.945
1776,43.025251076	,131.895826617	,48.049
1777,43.025249930	,131.895823323	,47.895
1778,43.025251829	,131.895822950	,47.887
1779,43.025324123	,131.895725525	,46.755
1780,43.025325259	,131.895719441	,46.564
1781,43.025321085	,131.895723334	,46.633
1782,43.025320469	,131.895710576	,46.775
1783,43.025337530	,131.895682534	,46.978
1784,43.025355970	,131.895662634	,46.163
1785,43.025353305	,131.895656238	,46.274
1786,43.025350742	,131.895656379	,46.173
1787,43.025349790	,131.895659904	,46.245
1788,43.025350613	,131.895664162	,46.212
1789,43.025350522	,131.895660997	,46.253
1790,43.025382654	,131.895647665	,45.637
1791,43.025380719	,131.895569250	,45.632
1792,43.025386439	,131.895565547	,45.540
1793,43.025335661	,131.895529744	,46.211
1794,43.025230287	,131.895440241	,47.323
1795,43.025178477	,131.895448709	,48.199
1796,43.025181360	,131.895435752	,48.099
1797,43.025147664	,131.895378657	,48.663
1798,43.025160572	,131.895298219	,48.726
1799,43.025126746	,131.895267976	,49.242
1800,43.025128346	,131.895268198	,49.745
1801,43.025135011	,131.895208238	,49.953
1802,43.025167556	,131.895185449	,49.288
1803,43.025281121	,131.896995042	,49.596
1804,43.025308042	,131.897023045	,49.415
1805,43.025316748	,131.897092972	,49.760
1806,43.025304042	,131.897162087	,50.256
1807,43.025289986	,131.897195547	,50.798
1808,43.025290903	,131.897189366	,50.415
1809,43.025295010	,131.897188558	,50.302
1810,43.025293694	,131.897190704	,51.170
1811,43.025295521	,131.897191454	,50.421
1812,43.025296031	,131.897193500	,50.397
1813,43.025294880	,131.897198071	,50.492
1814,43.025340411	,131.897206073	,50.221
1815,43.025389241	,131.897152251	,49.800
1816,43.025349763	,131.897264068	,50.288
1817,43.025373488	,131.897318012	,50.298
1818,43.025377370	,131.897307152	,50.012
1819,43.025378497	,131.897318884	,50.049
1820,43.025472926	,131.897276687	,48.473
1821,43.025472589	,131.897284966	,48.458
1822,43.025478350	,131.897284470	,48.201
1823,43.025509198	,131.897332448	,48.062
1824,43.025509360	,131.897336646	,48.184
1825,43.025504604	,131.897341259	,48.178
1826,43.025473072	,131.897361511	,48.366
1827,43.025471574	,131.897365925	,48.519
1828,43.025467913	,131.897360483	,48.716
1829,43.025415071	,131.897413680	,49.524
1830,43.025416440	,131.897422362	,49.570
1831,43.025393621	,131.897417551	,49.957
1832,43.025414682	,131.897496275	,49.929
1833,43.025419461	,131.897493653	,49.762
1834,43.025485712	,131.897405898	,48.377
1835,43.025478854	,131.897456916	,48.543
1836,43.025494151	,131.897463022	,48.357
1837,43.025539564	,131.897440250	,47.552
1838,43.025613465	,131.897460611	,46.680
1839,43.025618828	,131.897522107	,46.430
1840,43.025624637	,131.897530421	,46.304
1841,43.025618158	,131.897533061	,46.352
1842,43.025567705	,131.897489796	,47.093
1843,43.025573118	,131.897529156	,47.030
1844,43.025460083	,131.897548703	,49.249
1845,43.025454653	,131.897555301	,49.560
1846,43.025448449	,131.897582090	,49.763
1847,43.025480084	,131.897592504	,49.187
1848,43.025482114	,131.897600773	,49.100
1849,43.025461107	,131.897696009	,49.699
1850,43.025464639	,131.897695185	,49.624
1851,43.025462742	,131.897696406	,49.695
1852,43.025461702	,131.897698206	,49.737
1853,43.025466770	,131.897700717	,49.662
1854,43.025463461	,131.897702616	,49.701
1855,43.025459225	,131.897734690	,49.680
1856,43.025495179	,131.897765356	,49.037
1857,43.025529345	,131.897752594	,48.343
1858,43.025535202	,131.897757481	,48.230
1859,43.025537189	,131.897752120	,48.288
1860,43.025534151	,131.897749243	,48.221
1861,43.025535087	,131.897683621	,48.290
1862,43.025539847	,131.897621187	,48.045
1863,43.025615328	,131.897633806	,46.787
1864,43.025586453	,131.897686266	,47.201
1865,43.025657886	,131.897691729	,46.083
1866,43.025644873	,131.897732415	,46.270
1867,43.025588452	,131.897762729	,47.344
1868,43.025578510	,131.897761182	,47.557
1869,43.025578900	,131.897781870	,47.561
1870,43.025572440	,131.897814256	,48.045
1871,43.025569504	,131.897813266	,47.797
1872,43.025574463	,131.897807856	,47.702
1873,43.025577780	,131.897813325	,47.584
1874,43.025689914	,131.897788351	,46.098
1875,43.025681690	,131.897801940	,46.029
1876,43.025716463	,131.897839066	,45.419
1877,43.025647619	,131.897837762	,46.434
1878,43.025620097	,131.897843451	,46.960
1879,43.025509818	,131.897870211	,49.089
1880,43.025509137	,131.897948426	,49.629
1881,43.025502617	,131.897923603	,49.579
1882,43.025515510	,131.898045012	,50.536
1883,43.025516513	,131.898047539	,50.500
1884,43.025518713	,131.898045766	,50.502
1885,43.025525498	,131.898045765	,50.285
1886,43.025564757	,131.898046014	,49.249
1887,43.025572605	,131.897979660	,48.369
1888,43.025571995	,131.897977466	,48.381
1889,43.025598232	,131.897960426	,47.854
1890,43.025624557	,131.897938698	,47.074
1891,43.025654134	,131.897956387	,47.217
1892,43.025689308	,131.898019210	,46.401
1893,43.025738795	,131.898043123	,45.963
1894,43.025646570	,131.898097695	,47.826
1895,43.025649523	,131.898110712	,47.754
1896,43.025615146	,131.898091668	,48.453
1897,43.025613843	,131.898080081	,48.341
1898,43.025611127	,131.898043313	,48.346
1899,43.025570424	,131.898078316	,49.415
1900,43.025588638	,131.898102331	,49.298
1901,43.025601200	,131.898145896	,49.496
1902,43.025585813	,131.898146729	,49.664
1903,43.025596623	,131.898157091	,49.493
1904,43.025593146	,131.898162744	,49.774
1905,43.025580448	,131.898183353	,50.275
1906,43.025574208	,131.898175527	,50.367
1907,43.025573026	,131.898181846	,50.505
1908,43.025567950	,131.898242453	,51.083
1909,43.025596962	,131.898309166	,50.799
1910,43.025570628	,131.898346619	,51.765
1911,43.026383870	,131.897508071	,37.141
base_2,43.374446809	,132.230079906	,79.575
1912,43.026518883	,131.895880418	,36.179
1913,43.026505441	,131.895928047	,34.812
1914,43.026495420	,131.895943701	,34.499
1915,43.026507589	,131.895943362	,34.503
1916,43.026514725	,131.895937405	,34.646
1917,43.026518020	,131.895932590	,34.855
1918,43.026512164	,131.895945196	,34.494
1919,43.026515849	,131.895957477	,34.327
1920,43.026522883	,131.895956516	,34.425
1921,43.026524920	,131.895951530	,34.449
1922,43.026532749	,131.895936872	,34.829
1923,43.026538688	,131.895923160	,35.296
1924,43.026554688	,131.895925065	,35.318
1925,43.026540685	,131.895949722	,34.586
1926,43.026536748	,131.895959806	,34.292
1927,43.026551470	,131.895970408	,34.369
1928,43.026554318	,131.895980659	,34.089
1929,43.026558426	,131.895989532	,34.127
1930,43.026560687	,131.895986396	,34.012
1931,43.026573424	,131.895988707	,34.114
1932,43.026575265	,131.895979670	,34.152
1933,43.026571841	,131.895961451	,34.556
1934,43.026580348	,131.895964934	,34.440
1935,43.026578891	,131.895987643	,34.250
1936,43.026596921	,131.895986753	,34.300
1937,43.026600917	,131.895965606	,34.549
1938,43.026602265	,131.895935949	,35.264
1939,43.026615181	,131.895933967	,35.427
1940,43.026622538	,131.895920556	,36.116
1941,43.026623738	,131.895857669	,37.799
1942,43.026653240	,131.895888959	,37.007
1943,43.026645957	,131.895920080	,36.228
1944,43.026634413	,131.895957677	,35.122
1945,43.026637466	,131.895972631	,34.751
1946,43.026625793	,131.895974092	,34.602
1947,43.026631091	,131.895996501	,34.163
1948,43.026604132	,131.895996823	,34.024
1949,43.026612494	,131.896012940	,33.940
1950,43.026623481	,131.896013273	,33.956
1951,43.026628000	,131.896006986	,34.092
1952,43.026630524	,131.895996998	,34.167
1953,43.026638914	,131.895995071	,34.201
1954,43.026641394	,131.895999297	,34.193
1955,43.026639492	,131.896026841	,33.888
1956,43.026642262	,131.896037197	,33.705
1957,43.026647415	,131.896040569	,33.677
1958,43.026650832	,131.896038388	,33.694
1959,43.026657219	,131.896022657	,33.912
1960,43.026660450	,131.896019277	,33.965
1961,43.026656808	,131.896003008	,34.227
1962,43.026661700	,131.895991953	,34.544
1963,43.026661361	,131.895963056	,35.309
1964,43.026664417	,131.895940021	,35.956
1965,43.026662909	,131.895934414	,36.011
1966,43.026667991	,131.895923418	,36.775
1967,43.026655535	,131.895890290	,37.052
1968,43.026685522	,131.895876440	,37.887
1969,43.026709021	,131.895838629	,39.161
1970,43.026694989	,131.895878075	,37.856
1971,43.026704181	,131.895880124	,37.971
1972,43.026716863	,131.895873646	,38.402
1973,43.026719011	,131.895893205	,37.809
1974,43.026702770	,131.895896771	,37.561
1975,43.026698137	,131.895909526	,37.214
1976,43.026690064	,131.895915742	,36.960
1977,43.026695048	,131.895921147	,36.867
1978,43.026699900	,131.895930715	,36.710
1979,43.026692652	,131.895949587	,36.126
1980,43.026681333	,131.895979900	,35.121
1981,43.026680608	,131.895985595	,34.845
1982,43.026674860	,131.896009329	,34.150
1983,43.026674784	,131.896024411	,33.922
1984,43.026670125	,131.896035989	,33.648
1985,43.026672000	,131.896057964	,33.337
1986,43.026679187	,131.896047072	,33.658
1987,43.026681113	,131.896050763	,33.649
1988,43.026686724	,131.896058802	,33.577
1989,43.026691783	,131.896007300	,34.376
1990,43.026686422	,131.895992762	,34.655
1991,43.026689013	,131.895990071	,34.787
1992,43.026693447	,131.895984543	,35.124
1993,43.026695261	,131.895984192	,35.211
1994,43.026704242	,131.895984930	,35.310
1995,43.026717015	,131.895971598	,36.305
1996,43.026709206	,131.895948747	,36.373
1997,43.026712991	,131.895926781	,36.977
1998,43.026719962	,131.895935993	,36.920
1999,43.026733741	,131.895955021	,36.812
2000,43.026738593	,131.895951229	,36.715
2001,43.026779027	,131.895898778	,38.538
2002,43.026800666	,131.895910881	,38.713
2003,43.026783630	,131.895952254	,37.485
2004,43.026728946	,131.895982125	,35.663
2005,43.026701535	,131.896017017	,34.478
2006,43.026721117	,131.895995670	,35.150
2007,43.026727871	,131.896000028	,35.194
2008,43.026736495	,131.896005727	,35.310
2009,43.026748260	,131.895997777	,35.668
2010,43.026766358	,131.896002817	,36.211
2011,43.026800814	,131.895957231	,37.438
2012,43.026847447	,131.895950214	,38.142
2013,43.026849428	,131.896017253	,37.107
2014,43.026833478	,131.896049362	,35.904
2015,43.026789899	,131.896047152	,35.367
2016,43.026778726	,131.896063439	,34.784
2017,43.026737577	,131.896041434	,34.506
2018,43.026723444	,131.896057101	,33.768
2019,43.026719999	,131.896059349	,33.690
2020,43.026722596	,131.896063268	,33.637
2021,43.026729595	,131.896072277	,33.648
2022,43.026736609	,131.896072147	,33.830
2023,43.026739814	,131.896064755	,34.150
2024,43.026748593	,131.896075080	,34.124
2025,43.026741460	,131.896079879	,33.880
2026,43.026741817	,131.896084506	,33.798
2027,43.026733794	,131.896105496	,33.221
2028,43.026738571	,131.896115343	,33.168
2029,43.026743278	,131.896109026	,33.372
2030,43.026750007	,131.896075474	,33.723
2031,43.026752057	,131.896078774	,34.051
2032,43.026752821	,131.896083443	,33.948
2033,43.026793836	,131.896077859	,34.692
2034,43.026765251	,131.896100023	,33.944
2035,43.026759332	,131.896105482	,33.693
2036,43.026755806	,131.896106072	,33.649
2037,43.026748046	,131.896119293	,33.266
