base_1,43.118967237	,131.889649040	,114.216
210,43.025527496	,131.896757990	,44.744
211,43.025536325	,131.896776187	,44.395
212,43.025541981	,131.896767851	,43.923
213,43.025553262	,131.896791491	,43.194
214,43.025373741	,131.896935319	,47.858
215,43.025377717	,131.896941214	,47.829
216,43.025380192	,131.896968992	,48.065
217,43.025385100	,131.896982972	,48.030
218,43.025411144	,131.897038071	,48.119
219,43.025455903	,131.897126560	,48.156
220,43.025483750	,131.897140370	,47.595
221,43.025501837	,131.897166488	,47.404
222,43.025502626	,131.897168368	,47.769
223,43.025524289	,131.897227016	,47.481
224,43.025550217	,131.897253470	,47.150
225,43.025553260	,131.897283830	,47.308
226,43.025565271	,131.897284140	,47.049
227,43.025566125	,131.897292397	,46.959
228,43.025629791	,131.897397610	,46.297
229,43.025563160	,131.897232235	,46.869
230,43.025551400	,131.897215071	,46.896
231,43.025558180	,131.897201485	,46.583
232,43.025565470	,131.897196006	,46.488
233,43.025438684	,131.896885907	,45.331
234,43.025452140	,131.896862482	,44.960
235,43.025452823	,131.896886747	,45.210
236,43.025457818	,131.896872272	,45.169
237,43.025421150	,131.896952610	,46.108
238,43.025469445	,131.896954564	,45.109
239,43.025471369	,131.896943209	,45.183
240,43.025482410	,131.896931516	,44.849
241,43.025493131	,131.896962742	,45.019
242,43.025496883	,131.896971714	,45.267
243,43.025497722	,131.896977562	,45.479
244,43.025509100	,131.896978752	,44.888
245,43.025511158	,131.896946748	,44.891
246,43.025513715	,131.896942897	,45.103
247,43.025525805	,131.896950515	,44.367
248,43.025535227	,131.896938645	,43.820
249,43.025522623	,131.896931197	,44.207
250,43.025545127	,131.896952255	,43.888
251,43.025562814	,131.896958145	,44.252
252,43.025580710	,131.897012250	,44.307
253,43.025540631	,131.897034026	,44.774
254,43.025538493	,131.897043856	,45.025
255,43.025490100	,131.897067016	,45.945
256,43.025464959	,131.897079290	,46.940
257,43.025526260	,131.897112437	,45.962
258,43.025563068	,131.897082316	,44.812
259,43.025611488	,131.897174303	,45.596
260,43.025616766	,131.897173984	,45.458
261,43.025619130	,131.897171682	,45.560
262,43.025617883	,131.897169693	,45.405
263,43.025629034	,131.897207107	,45.495
264,43.025603176	,131.897226630	,46.382
265,43.025612140	,131.897296234	,46.407
266,43.025626126	,131.897155634	,44.855
267,43.025668081	,131.897087876	,43.525
268,43.025661498	,131.897068716	,43.505
269,43.025675747	,131.897015844	,43.167
270,43.025677376	,131.897004405	,42.821
271,43.025613444	,131.897038682	,44.126
272,43.025621916	,131.896977272	,43.475
273,43.025609029	,131.896966611	,43.349
274,43.025597332	,131.896953499	,43.201
275,43.025583548	,131.896948079	,43.278
276,43.025581760	,131.896941542	,43.196
277,43.025580362	,131.896936953	,42.937
278,43.025595493	,131.896935448	,42.759
279,43.025597451	,131.896932605	,42.660
280,43.025611275	,131.896935501	,42.889
281,43.025631271	,131.896942512	,42.386
282,43.025633453	,131.896988104	,43.362
283,43.025640504	,131.896992476	,43.283
284,43.025671262	,131.896976755	,42.468
285,43.025664194	,131.896976266	,42.562
286,43.025665174	,131.896951054	,41.907
287,43.025656396	,131.896951910	,42.125
288,43.025657512	,131.896941031	,41.876
289,43.025684062	,131.896919528	,41.317
290,43.025660312	,131.896905726	,41.377
291,43.025692856	,131.896884362	,41.662
292,43.025672191	,131.896879348	,41.554
293,43.025668639	,131.896870932	,41.796
294,43.025630952	,131.896904288	,41.656
295,43.025624372	,131.896905083	,41.645
296,43.025613825	,131.896910333	,41.908
297,43.025608935	,131.896907722	,41.809
